Comment,Designator,Footprint,LCSC
150Ω,"R20,R28",0402-SQUARE,C25082
10nF,"C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24",0402-SQUARE,C15195
220Ω,"R26,R27,R37,R38",0402-SQUARE,C25091
50Ω,R30,0402-SQUARE,C477760
1.1kΩ,"R22,R32",0402-SQUARE,C25860
SMA--BU-SMA-H,X2,BU-SMA-H,C1509230
1µF,"C52,C54",0603,C52923
